,ID_REF,VALUE
847,202571_s_at,6.5368
848,202574_s_at,7.479
849,202575_at,6.6393
850,202577_s_at,8.0211
851,202581_at,9.5492
852,202585_s_at,5.7921
853,202586_at,4.0815
854,202588_at,5.1328
855,202589_at,6.6993
856,202597_at,5.7794
857,202598_at,9.8412
858,202599_s_at,9.0088
859,202600_s_at,9.2381
860,202601_s_at,7.6721
861,202604_x_at,6.3885
862,202605_at,7.4488
863,202609_at,7.8164
864,202610_s_at,7.6148
865,202611_s_at,5.5764
866,202616_s_at,9.4055
867,202618_s_at,6.5149
868,202619_s_at,7.6581
869,202620_s_at,7.4103
870,202624_s_at,7.6807
871,202625_at,5.2921
872,202626_s_at,5.8089
873,202627_s_at,5.9112
874,202631_s_at,7.5168
875,202634_at,9.8292
876,202637_s_at,5.2985
877,202638_s_at,4.5788
878,202643_s_at,4.5205
879,202644_s_at,5.7031
880,202647_s_at,6.6976
881,202648_at,7.0165
882,202651_at,8.4131
883,202653_s_at,9.2962
884,202656_s_at,7.6537
885,202660_at,7.088
886,202661_at,6.0908
887,202662_s_at,6.8514
888,202663_at,5.414
889,202664_at,7.7198
890,202665_s_at,5.9794
891,202666_s_at,6.1347
892,202667_s_at,7.7482
893,202669_s_at,8.326
894,202672_s_at,5.5269
895,202676_x_at,6.8069
896,202678_at,9.341
897,202679_at,7.9795
898,202684_s_at,3.7801
899,202685_s_at,5.5008
900,202686_s_at,7.4958
901,202687_s_at,5.13
902,202688_at,5.9522
903,202689_at,8.4583
904,202694_at,4.6744
905,202696_at,7.6797
906,202697_at,6.5655
907,202699_s_at,5.7049
908,202700_s_at,5.3062
909,202701_at,5.7559
910,202704_at,8.9605
911,202706_s_at,6.7781
912,202707_at,4.277
913,202708_s_at,7.9374
914,202709_at,7.2568
915,202711_at,6.0236
916,202712_s_at,10.4269
917,202718_at,7.3791
918,202719_s_at,5.4211
919,202720_at,7.4803
920,202721_s_at,7.6883
921,202722_s_at,7.8256
922,202723_s_at,6.2696
923,202724_s_at,7.7588
924,202726_at,5.1095
925,202727_s_at,9.1899
926,202728_s_at,5.7869
927,202730_s_at,7.673
928,202731_at,7.4243
929,202734_at,4.9961
930,202735_at,6.3354
931,202740_at,7.5236
932,202743_at,8.8675
933,202744_at,7.0907
934,202746_at,9.7071
935,202747_s_at,9.5595
936,202748_at,6.6112
937,202752_x_at,7.5746
938,202755_s_at,5.1806
939,202756_s_at,8.8791
940,202759_s_at,8.8113
941,202760_s_at,8.3193
942,202762_at,9.2216
943,202764_at,7.8359
944,202765_s_at,4.8222
945,202766_s_at,7.0835
946,202767_at,8.8188
947,202768_at,5.4453
948,202769_at,9.5293
949,202771_at,6.2635
950,202772_at,8.4902
951,202775_s_at,7.159
952,202778_s_at,9.486
953,202784_s_at,8.2137
954,202788_at,6.7055
955,202795_x_at,7.2649
956,202800_at,11.5648
957,202803_s_at,4.8704
958,202807_s_at,8.1399
959,202808_at,8.3564
960,202809_s_at,8.6236
961,202812_at,6.4235
962,202813_at,8.2985
963,202815_s_at,8.4815
964,202816_s_at,6.7219
965,202817_s_at,6.9378
966,202818_s_at,7.0708
967,202819_s_at,6.1734
968,202820_at,6.4936
969,202821_s_at,4.863
970,202822_at,8.2685
971,202826_at,5.0566
972,202828_s_at,5.0705
973,202834_at,10.59
974,202835_at,6.4808
975,202837_at,6.0232
976,202840_at,8.8208
977,202841_x_at,7.4148
978,202845_s_at,9.5491
979,202848_s_at,6.1987
980,202849_x_at,7.2854
981,202850_at,9.4317
982,202851_at,6.8104
983,202853_s_at,7.0403
984,202856_s_at,6.0762
985,202861_at,7.2185
986,202862_at,6.7305
987,202863_at,5.3932
988,202864_s_at,5.2609
989,202865_at,4.4075
990,202869_at,6.2312
991,202870_s_at,3.6668
992,202871_at,5.996
993,202873_at,7.6604
994,202876_s_at,7.8322
995,202877_s_at,3.2312
996,202878_s_at,4.5144
997,202879_s_at,6.936
998,202880_s_at,7.6133
999,202881_x_at,6.4825
1000,202883_s_at,6.9509
1001,202884_s_at,6.2225
1002,202885_s_at,5.8504
1003,202886_s_at,6.1851
1004,202887_s_at,9.0604
1005,202888_s_at,5.465
1006,202889_x_at,6.9395
1007,202890_at,9.0684
1008,202891_at,8.9285
1009,202895_s_at,7.0244
1010,202899_s_at,9.9988
1011,2028_s_at,6.1732
1012,202901_x_at,5.6831
1013,202902_s_at,4.8031
1014,202903_at,6.2064
1015,202904_s_at,6.5052
1016,202905_x_at,7.9337
1017,202906_s_at,7.4158
1018,202908_at,8.2783
1019,202909_at,10.4212
1020,202910_s_at,5.6931
1021,202912_at,6.1675
1022,202913_at,8.3541
1023,202914_s_at,6.1718
1024,202915_s_at,9.0328
